model,best_acc,final_acc,rounds,lr,local_epochs,batch_size,optimizer,momentum,weight_decay,eval_time_total,trial
SqueezeNet,0.6385,0.6215,15,0.005611516415334507,5,32,sgd,0.9,0.0,10.492408000000978,sweep-squeezenet-cifar10-10k-trial-000
SqueezeNet,0.622,0.622,15,0.005611516415334507,5,32,sgd,0.9,0.0,10.628699299999425,sweep-squeezenet-cifar10-10k-trial-008
SqueezeNet,0.6155,0.6155,15,0.0013066739238053278,5,32,sgd,0.9,0.0,11.124742000001788,sweep-squeezenet-cifar10-10k-trial-003
SqueezeNet,0.611,0.6095,15,0.0010994335574766201,5,32,sgd,0.9,0.0,10.623901799997839,sweep-squeezenet-cifar10-10k-trial-005
SqueezeNet,0.5805,0.5805,15,0.007128322182655505,3,32,sgd,0.9,0.0,10.534702499999185,sweep-squeezenet-cifar10-10k-trial-010
SqueezeNet,0.4395,0.4395,15,0.0023102018878452934,1,32,sgd,0.9,0.0,10.501952400001755,sweep-squeezenet-cifar10-10k-trial-007
SqueezeNet,0.439,0.439,15,0.0020513382630874496,1,32,sgd,0.9,0.0,12.031444599997485,sweep-squeezenet-cifar10-10k-trial-002
SqueezeNet,0.1015,0.097,15,0.015930522616241012,4,32,sgd,0.9,0.0,11.307737900000575,sweep-squeezenet-cifar10-10k-trial-004
SqueezeNet,0.097,0.097,15,0.029106359131330698,3,32,sgd,0.9,0.0,10.86622000000716,sweep-squeezenet-cifar10-10k-trial-001
SqueezeNet,0.097,0.097,15,0.04622589001020832,2,32,sgd,0.9,0.0,10.52534729999934,sweep-squeezenet-cifar10-10k-trial-006
SqueezeNet,0.097,0.097,15,0.029106359131330698,3,32,sgd,0.9,0.0,10.857004299999971,sweep-squeezenet-cifar10-10k-trial-009
MobileNetV3,0.633,0.633,15,0.029106359131330698,3,32,sgd,0.9,0.0,15.826010199998564,sweep-mobilenetv3-cifar10-10k-trial-001
MobileNetV3,0.629,0.6055,15,0.04622589001020832,2,32,sgd,0.9,0.0,15.522784899996623,sweep-mobilenetv3-cifar10-10k-trial-006
MobileNetV3,0.611,0.589,15,0.015930522616241012,4,32,sgd,0.9,0.0,16.615411399998266,sweep-mobilenetv3-cifar10-10k-trial-004
MobileNetV3,0.5845,0.5695,15,0.007309539835912915,2,32,sgd,0.9,0.0,12.75471970000217,sweep-mobilenetv3-cifar10-10k-trial-009
MobileNetV3,0.5735,0.554,15,0.005611516415334507,5,32,sgd,0.9,0.0,16.30350119999639,sweep-mobilenetv3-cifar10-10k-trial-000
MobileNetV3,0.5475,0.541,15,0.0040596116104843075,3,32,sgd,0.9,0.0,12.760053699992568,sweep-mobilenetv3-cifar10-10k-trial-008
MobileNetV3,0.518,0.518,15,0.0013066739238053278,5,32,sgd,0.9,0.0,15.946917499997653,sweep-mobilenetv3-cifar10-10k-trial-003
MobileNetV3,0.509,0.509,15,0.0020513382630874496,1,32,sgd,0.9,0.0,14.657283999993524,sweep-mobilenetv3-cifar10-10k-trial-002
MobileNetV3,0.4975,0.4975,15,0.0023102018878452934,1,32,sgd,0.9,0.0,15.609502400002384,sweep-mobilenetv3-cifar10-10k-trial-007
MobileNetV3,0.497,0.4925,15,0.0010994335574766201,5,32,sgd,0.9,0.0,15.564420000002428,sweep-mobilenetv3-cifar10-10k-trial-005
ResNet18,0.6675,0.656,15,0.029106359131330698,3,32,sgd,0.9,0.0,11.324620200002755,sweep-resnet18-cifar10-10k-trial-002
ResNet18,0.6625,0.6615,15,0.04622589001020832,2,32,sgd,0.9,0.0,11.738153700000112,sweep-resnet18-cifar10-10k-trial-007
ResNet18,0.6495,0.643,15,0.015930522616241012,4,32,sgd,0.9,0.0,11.874638100000084,sweep-resnet18-cifar10-10k-trial-005
ResNet18,0.6355,0.6305,15,0.007309539835912915,2,32,sgd,0.9,0.0,16.412417000005007,sweep-resnet18-cifar10-10k-trial-010
ResNet18,0.6,0.595,15,0.005611516415334507,5,32,sgd,0.9,0.0,11.393381100000624,sweep-resnet18-cifar10-10k-trial-001
ResNet18,0.596,0.596,15,0.0040596116104843075,3,32,sgd,0.9,0.0,11.847539099995629,sweep-resnet18-cifar10-10k-trial-009
ResNet18,0.5675,0.5675,15,0.0020513382630874496,1,32,sgd,0.9,0.0,11.313830200002485,sweep-resnet18-cifar10-10k-trial-003
ResNet18,0.5615,0.56,15,0.0023102018878452934,1,32,sgd,0.9,0.0,11.944514399996478,sweep-resnet18-cifar10-10k-trial-008
ResNet18,0.534,0.533,15,0.0013066739238053278,5,32,sgd,0.9,0.0,11.597287700004017,sweep-resnet18-cifar10-10k-trial-004
ResNet18,0.5245,0.5215,15,0.0010994335574766201,5,32,sgd,0.9,0.0,11.362436399997023,sweep-resnet18-cifar10-10k-trial-006
