model,alpha,acc_10k,acc_50k,delta_pp,delta_rel%,rounds_10k,rounds_50k,early_stop_50k
SqueezeNet,IID,62.4,80.3,+18.0,+28.8,15,20,no
SqueezeNet,α=1.0,60.2,76.8,+16.6,+27.5,15,20,no
SqueezeNet,α=0.3,49.8,75.5,+25.7,+51.5,15,20,no
SqueezeNet,α=0.1,41.4,67.8,+26.4,+63.6,15,20,no
MobileNetV3,IID,61.5,78.7,+17.2,+28.0,15,18,yes
MobileNetV3,α=1.0,59.7,76.3,+16.6,+27.8,15,20,no
MobileNetV3,α=0.3,51.3,73.4,+22.1,+43.1,15,20,no
MobileNetV3,α=0.1,49.5,67.6,+18.0,+36.4,15,20,no
ResNet18,IID,69.0,85.0,+16.0,+23.1,15,20,no
ResNet18,α=1.0,66.1,83.6,+17.4,+26.3,15,16,yes
ResNet18,α=0.3,61.4,82.9,+21.5,+35.0,15,19,yes
ResNet18,α=0.1,58.1,79.9,+21.8,+37.5,15,19,yes
